Date,Name,Description,Planned Duration,Intensity,Notes
2026-08-25,CAP - Footing de récupération Z1,Footing de récupération Z1 (51 min),51 min,Recovery,
2026-08-25,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-08-26,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-08-27,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (72 min),72 min,Easy,
2026-08-27,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-01,CAP - Footing de récupération Z1,Footing de récupération Z1 (78 min),78 min,Recovery,
2026-09-01,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-09-02,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-03,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (112 min),112 min,Easy,
2026-09-03,Vélo - Endurance Z2,Endurance Z2 (112 min),112 min,Easy,
2026-09-08,CAP - VC (500m x 5),500m x 5 - effort 03:02 / récup 125.0m x 01:38,38 min,Moderate,
2026-09-09,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-09,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-09-10,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (61 min),61 min,Easy,
2026-09-10,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-16,Natation - Endurance Z2,Endurance Z2 (85 min),85 min,Easy,
2026-09-16,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-09-17,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (41 min),41 min,Easy,
2026-09-17,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-09-22,CAP - Footing de récupération Z1,Footing de récupération Z1 (91 min),91 min,Recovery,
2026-09-22,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-09-23,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-24,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-09-24,Vélo - Endurance Z2,Endurance Z2 (130 min),130 min,Easy,
2026-09-29,CAP - VMA (700m x 5),700m x 5 - effort 03:13 / récup 175.0m x 01:30,41 min,Hard,
2026-09-30,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-09-30,Renforcement - Renforcement spécifique,Renforcement spécifique (30 min),30 min,Easy,
2026-10-01,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-01,Vélo - Endurance Z2,Endurance Z2 (180 min),180 min,Easy,
2026-10-06,CAP - Footing de récupération Z1,Footing de récupération Z1 (85 min),85 min,Recovery,
2026-10-06,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-07,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-10-08,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-08,Vélo - Endurance Z2,Endurance Z2 (122 min),122 min,Easy,
2026-10-13,CAP - Footing de récupération Z1,Footing de récupération Z1 (42 min),42 min,Recovery,
2026-10-13,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-14,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-10-20,CAP - VC (2000m x 2),2000m x 2 - effort 13:52 / récup 500.0m x 06:35,60 min,Moderate,
2026-10-21,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-10-21,Renforcement - Pliométrie,Pliométrie (30 min),30 min,Easy,
2026-10-22,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-10-22,Vélo - Endurance Z2,Endurance Z2 (129 min),129 min,Easy,
2026-10-27,CAP - Footing de récupération Z1,Footing de récupération Z1 (78 min),78 min,Recovery,
2026-10-27,Renforcement - Renforcement excentrique,Renforcement excentrique (30 min),30 min,Easy,
2026-10-28,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-10-29,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (112 min),112 min,Easy,
2026-10-29,Vélo - Endurance Z2,Endurance Z2 (112 min),112 min,Easy,
2026-11-03,CAP - Footing de récupération Z1,Footing de récupération Z1 (79 min),79 min,Recovery,
2026-11-03,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-11-04,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-11-05,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (114 min),114 min,Easy,
2026-11-05,Vélo - Endurance Z2,Endurance Z2 (114 min),114 min,Easy,
2026-11-10,CAP - VMA (100m x 36),100m x 36 - effort 00:25 / récup 25.0m x 00:12,22 min,Hard,
2026-11-11,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-11-11,Renforcement - Gainage,Gainage (30 min),30 min,Easy,
2026-11-12,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (50 min),50 min,Easy,
2026-11-12,Vélo - Endurance Z2,Endurance Z2 (80 min),80 min,Easy,
2026-11-17,CAP - Footing de récupération Z1,Footing de récupération Z1 (97 min),97 min,Recovery,
2026-11-17,Renforcement - Renforcement général,Renforcement général (30 min),30 min,Easy,
2026-11-18,Natation - Endurance Z2,Endurance Z2 (90 min),90 min,Easy,
2026-11-19,CAP - Endurance fondamentale Z2,Endurance fondamentale Z2 (120 min),120 min,Easy,
2026-11-19,Vélo - Endurance Z2,Endurance Z2 (140 min),140 min,Easy,
2026-11-24,CAP - Footing de récupération Z1,Footing de récupération Z1 (96 min),96 min,Recovery,
